number,type,name,city
1,rue,PROVENCE,Paris
68,avenue,DAUMESNIL,Paris
15,rue,MOUTON-DUVERNET,Paris
23,rue,TOURNEFORT,Paris
5,rue,VAL DE GRACE,Paris
14,rue,SIAM,Paris
29,rue,TRAVERSIÈRE,Paris
1,place,ALLERAY,Paris
8,rue,BLEUE,Paris
8,rue,RIBLETTE,Paris
33,rue,PETITES-ÉCURIES,Paris
14,rue,LINNÉ,Paris
4,rue,PRIMATICE,Paris
6,rue,SAINT-MARC,Paris
74,rue,LEGENDRE,Paris
6,rue,THÉNARD,Paris
35,rue,MILTON,Paris
22,avenue,ANTIN,Paris
14,rue,CRUSSOL,Paris
31,rue,CAULAINCOURT,Paris
75,rue,PIXÉRÉCOURT,Paris
13,rue,HENRI REGNAULT,Paris
73,rue,CHARONNE,Paris
43,rue,VOLTA,Paris
10,passage,NOIROT,Paris
2,rue,BAC,Paris
76,rue,DEMOURS,Paris
56,avenue,CHOISY,Paris
11,rue,LESDIGUIÈRES,Paris
1,passage,JEU DE BOULES,Paris
15,avenue,RÉPUBLIQUE,Paris
83,rue,SAINTS-PÈRES,Paris
3,rue,MIGNARD,Paris
20,rue,SAINT-YVES,Paris
14,rue,DAREAU,Paris
84,rue,SAINT-CHARLES,Paris
29,cité,FLEURS,Paris
23,rue,BELLEFOND,Paris
60,rue,BAGNOLET,Paris
37,rue,SAINT-LOUIS en l'ILE,Paris
11,rue,BAUDELIQUE,Paris
24,rue,VICTOR MASSÉ,Paris
2,impasse,BOUTRON,Paris
167,avenue,WAGRAM,Paris
104,rue,MONGE,Paris
103,quai,VALMY,Paris
26,rue,LONDRES,Paris
9,rue,LUNE,Paris
1,passage,POTEAU,Paris
32,rue,CHARLOT,Paris
2,rue,BERZELIUS Prolongée,Paris
21,rue,CHARLEMAGNE,Paris
40,rue,BEAUREGARD,Paris
20,rue,SAINT-AMBROISE,Paris
40,rue,POUCHET,Paris
52,rue,MOULIN DE LA POINTE,Paris
4,rue,BOISSY D'ANGLAS,Paris
15,rue,SAINTE-CÉCILE,Paris
49,rue,POUCHET,Paris
2,rue,BOUGAINVILLE,Paris
27,rue,PYRAMIDES,Paris
15,rue,ABBÉ GRÉGOIRE,Paris
2,rue,DUPLEIX,Paris
11,rue,MONTAIGNE,Paris
5,rue,PLAT D'ÉTAIN,Paris
9,passage,FALLEMPIN,Paris
36,rue,POUCHET,Paris
66,rue,SAINT-HONORÉ,Paris
2,rue,EUGÈNE DELACROIX,Paris
9,rue,HERMEL PROLONGÉE,Paris
7,rue,GUILHEM,Paris
1,rue,ROULE,Paris
34,rue,VERNIER,Paris
48,rue,SCHEFFER,Paris
73,rue,BAC,Paris
29,rue,GARDES,Paris
68,rue,CHAUSSÉE D'ANTIN,Paris
19,rue,LAHIRE,Paris
1,boulevard,LANNES,Paris
39,rue,CHARLOT,Paris
2,rue,BRÈCHE-AUX-LOUPS,Paris
75,boulevard,ORNANO,Paris
2,rue,CHAMBERTIN,Paris
15,rue,VERSIGNY,Paris
2,passage,BOITON,Paris
27,rue,ÉMILE LEPEU,Paris
8,rue,FOURCROY,Paris
8,impasse,BOILEAU,Paris
38,boulevard,ARAGO,Paris
12,place,COMMERCE,Paris
113,rue,CHATEAU,Paris
71,rue,MYRHA,Paris
1,rue,GALLERON,Paris
16,rue,DUPHOT,Paris
88,rue,LEMERCIER,Paris
21,avenue,TOURVILLE,Paris
5,rue,BECCARIA,Paris
14,villa,POISSONNIÈRE,Paris
2,rue,SAINT-SAUVEUR,Paris
6,rue,RICHEMONT,Paris
6,rue,BAILLET,Paris
142,rue,CHARENTON,Paris
83,avenue,VILLIERS,Paris
5,rue,MOGADOR,Paris
5,impasse,MONT-VISO,Paris
119,rue,SAUSSURE,Paris
147,rue,CROIX-NIVERT,Paris
56,passage,CAIRE,Paris
41,rue,PALESTRO,Paris
23,cité,ANTIN,Paris
8,rue,CHINE,Paris
34,rue,GUILHEM,Paris
24,rue,BISCORNET,Paris
14,rue,GÉNÉRAL FOY,Paris
15,rue,LAPPE,Paris
8,rue,BRÉA,Paris
28,place,SAINT-FERDINAND,Paris
1,rue,PORTALIS,Paris
16,rue,MEYNADIER,Paris
3,place,VOLTAIRE,Paris
4,rue,LANTIEZ,Paris
19,rue,CARDINAL-LEMOINE,Paris
14,rue,BOISSY D'ANGLAS,Paris
9,rue,NORMANDIE,Paris
10,rue,FEYDEAU,Paris
84,rue,LEIBNITZ,Paris
11,rue,BAUCHES,Paris
62,rue,CHARONNE,Paris
74,rue,PROCESSION,Paris
1,rue,ANDRÉ GILL,Paris
56,avenue,KLÉBER,Paris
7,rue,THOUIN,Paris
78,rue,RÉAUMUR,Paris
1,rue,SAINT-MAUR,Paris
18,rue,LA BARRE,Paris
6,rue,ANNAM,Paris
7,rue,BREGUET,Paris
9,rue,TANNERIES,Paris
94,rue,PHILIPPE DE GIRARD,Paris
10,rue,SAINT-ROCH,Paris
20,rue,SERPENTE,Paris
9,rue,SOPHIE GERMAIN,Paris
266,rue,VAUGIRARD,Paris
28,rue,FRANÇOIS Ier,Paris
74,boulevard,JOURDAN,Paris
120,rue,ASSAS,Paris
45,boulevard,SAINT-JACQUES,Paris
9,rue,ORMESSON,Paris
29,rue,CLICHY,Paris
16,rue,PARADIS,Paris
62,rue,COMPANS,Paris
16,rue,TAGE,Paris
15,rue,SAINT-ROMAIN,Paris
7,avenue,WAGRAM,Paris
24,rue,MOULIN DE LA POINTE,Paris
10,rue,POUCHET,Paris
3,impasse,CLIGNANCOURT,Paris
1,rue,RIBÉRA,Paris
4,passage,SIGAUD,Paris
86,rue,HAIES,Paris
3,villa,MARCEAU,Paris
49,rue,LEMERCIER,Paris
20,rue,CHARBONNIÈRE,Paris
5,rue,LUTÈCE,Paris
66,rue,DUTOT,Paris
6,rue,CHANTIERS,Paris
12,rue,PONDICHÉRY,Paris
35,rue,BONAPARTE,Paris
50,rue,MARONITES,Paris
48,rue,QUINCAMPOIX,Paris
214,boulevard,RASPAIL,Paris
7,rue,NICOLET,Paris
34,rue,TRAVERSIÈRE,Paris
3,rue,REINE-BLANCHE,Paris
40,rue,MICHEL-ANGE,Paris
5,impasse,BALEINE,Paris
61,rue,VERRERIE,Paris
6,rue,LA BAUME,Paris
24,rue,GRANDS-AUGUSTINS,Paris
76,rue,CHATEAU D'EAU,Paris
14,rue,RAMBUTEAU,Paris
105,rue,PRONY,Paris
39,rue,RAMEY,Paris
155,rue,SAINT-MAUR,Paris
13,rue et place,REUNION,Paris
176,boulevard,PEREIRE,Paris
114,avenue,St-OUEN,Paris
5,rue,DROUOT,Paris
16,rue,ACACIAS,Paris
58,rue,RAMBUTEAU,Paris
30,rue,VOUTE,Paris
17,rue,FONTAINE-AU-ROI,Paris
4,rue,BRETAGNE,Paris
46,rue,PASSY,Paris
26,rue,MERLIN,Paris
97,rue,FAUBOURG DU TEMPLE,Paris
11,passage,BRUNE,Paris
142,rue,MARCADET,Paris
9,rue,SAINT-MERRI,Paris
6,avenue,St-OUEN,Paris
57,rue,ÉGLISE,Paris
82,rue,PROCESSION,Paris
9,rue,BELFORT,Paris
13,rue,GRANGE-AUX-BELLES,Paris
8,rue,AUBER,Paris
33,rue,ACACIAS,Paris
42,rue,BOISSIÈRE,Paris
1,rue,DULONG,Paris
3,rue,VERSIGNY,Paris
29,rue,PARADIS,Paris
11,rue,CHALIGNY,Paris
1,rue,GUILLEMITES,Paris
2,rue,GALLERON,Paris
8,rue,VALOIS,Paris
19,rue,MONTMARTRE,Paris
9,rue,BACHELET,Paris
1,passage,CHARLES-ALBERT,Paris
204,boulevard,PEREIRE,Paris
82,rue,ALLERAY,Paris
10,rue,DÉSIRÉE,Paris
57,rue,VANEAU,Paris
8,passage,ROCHEBRUNE,Paris
12,rue,DAUMIER,Paris
13,rue,ÉTIENNE MARCEL,Paris
170,rue,RIVOLI,Paris
39,rue,MOZART,Paris
64,boulevard,SÉBASTOPOL,Paris
11,rue,GRENÉTA,Paris
27,rue,DOUAI,Paris
256,rue,MARCADET,Paris
61,rue,SAUSSURE,Paris
18,cité,MIDI,Paris
254,rue,VAUGIRARD,Paris
133,rue,ROQUETTE,Paris
162,rue,PYRÉNÉES,Paris
16,boulevard,SÉBASTOPOL,Paris
11,rue,DAMESME,Paris
7,rue,CORTOT,Paris
11,impasse,COMPOINT,Paris
148,avenue,CLICHY,Paris
18,rue,JUGE,Paris
10,rue,GOMBOUST,Paris
6,rue,CHAPTAL,Paris
33,rue,MATHURINS,Paris
36,rue,SOURDIÈRE,Paris
200,quai,JEMMAPES,Paris
177,rue,FLANDRE,Paris
25,rue,PAIX,Paris
109,rue,FAUBOURG SAINT-ANTOINE,Paris
101,rue,ALEXANDRE DUMAS,Paris
19,rue,GASSENDI,Paris
54,rue,TIQUETONNE,Paris
144,boulevard,MÉNILMONTANT,Paris
31,rue,GRAVILLIERS,Paris
27,rue,TEXEL,Paris
4,rue,LÉCLUSE,Paris
261,rue,FAUBOURG SAINT-MARTIN,Paris
56,rue,PROCESSION,Paris
4,rue,SAINT-ÉTIENNE DU MONT,Paris
26,rue,SAINT-QUENTIN,Paris
51,rue,MOZART,Paris
79,boulevard,VOLTAIRE,Paris
11,rue,CHARLOT,Paris
95,rue,MICHEL-ANGE,Paris
3,square,RANELAGH,Paris
37,boulevard,SAINT-MARTIN,Paris
2,passage,COTTIN,Paris
28,quai,RAPÉE,Paris
1,rue,PÉTION,Paris
44,rue,FABERT,Paris
112,boulevard,VOLTAIRE,Paris
29,rue,CHAUDRON,Paris
95,boulevard,HAUSSMANN,Paris
50,avenue,GRANDE-ARMÉE,Paris
3,rue,DAUBENTON,Paris
91,rue,BLOMET,Paris
2,rue,VÉZELAY,Paris
115,rue,DAMES,Paris
6,rue,JEAN-JACQUES ROUSSEAU,Paris
19,avenue,SAINT-MANDE,Paris
26,rue,DAUBENTON,Paris
52,rue,RANELAGH,Paris
19,rue,FONTAINE DU BUT,Paris
48,rue,SEINE,Paris
9,avenue,LA BOURDONNAIS,Paris
68,boulevard,HOPITAL,Paris
21,quai,VOLTAIRE,Paris
29,rue,JUGE,Paris
2,rue,EMMERY,Paris
76,rue,DUNKERQUE,Paris
3,rue,LÉONIE,Paris
27,rue,POLONCEAU,Paris
36,rue,LABAT,Paris
132,boulevard,HAUSSMANN,Paris
12,rue,BEAUTREILLIS,Paris
133,rue,PROVENCE,Paris
161,rue,SAINT-DENIS,Paris
1,rue,GRAMMONT,Paris
129,boulevard,SÉBASTOPOL,Paris
61,rue,CROIX-NIVERT,Paris
57,rue,MONTMARTRE,Paris
9,rue,GUÉNÉGAUD,Paris
28,rue,CLAUDE LORRAIN,Paris
45,avenue,CHOISY,Paris
65,rue,MOUFFETARD,Paris
12,rue,TROYON,Paris
40,rue,GUERIN-BOISSEAU,Paris
85,rue,FAUBOURG POISSONNIÈRE,Paris
5,rue,CASIMIR DELAVIGNE,Paris
12,rue,VILLEDO,Paris
118,rue,VERCINGÉTORIX,Paris
11,rue,BARBETTE,Paris
45,rue,PERNETY,Paris
67,rue,CHAPELLE,Paris
1,place,FRANÇOIS Ier,Paris
4,rue,MONTSOURIS,Paris
22,rue,LAUZIN,Paris
26,rue,SAUSSIER-LEROY,Paris
11,impasse,DÉFENSE,Paris
32,rue,BRÈCHE-AUX-LOUPS,Paris
49,rue,LA CONDAMINE,Paris
30,rue,DELAMBRE,Paris
232,boulevard,VILLETTE,Paris
3,rue,DÉSIRÉE,Paris
141,rue,TEMPLE,Paris
132,rue,SAINT-CHARLES,Paris
1,rue,HERSCHEL,Paris
82,rue,ALEXANDRE DUMAS,Paris
51,rue,"F,  FOUR",Paris
32,rue,YVETTE,Paris
23,rue,ALIGRE,Paris
8,rue,LACAZE,Paris
74,rue,ARCHIVES,Paris
56,rue,GAY-LUSSAC,Paris
145,rue,SAINT-DENIS,Paris
3,boulevard,ARAGO,Paris
7,rue,ATHÈNES,Paris
15,rue,BAUDELIQUE,Paris
101,rue,ABOUKIR,Paris
28,rue,SAUFFROY,Paris
8,rue,ALENÇON,Paris
36,rue,BLONDEL,Paris
30,rue,BLANCHE,Paris
7,rue,CHAMBÉRY,Paris
53,rue,GOUTTE D'OR,Paris
3,passage,ST-PIERRE ST-PAUL,Paris
317,rue,FAUBOURG SAINT-ANTOINE,Paris
54,rue,MIROMESNIL,Paris
17,rue,ROYER-COLLARD,Paris
99,rue,MOINES,Paris
87,rue,GLACIÈRE,Paris
67,boulevard,NEY,Paris
126,boulevard,CHARONNE,Paris
17,rue,BISCORNET,Paris
15,rue,FEYDEAU,Paris
9,cité,GAILLARD,Paris
11,rue,CHATEAU D'EAU,Paris
4,rue,THÉODORE DECK,Paris
81,boulevard,MÉNILMONTANT,Paris
192,boulevard,PEREIRE,Paris
14,rue,MAZAGRAN,Paris
21,rue,BARGUE,Paris
121,rue,FAUBOURG POISSONNIÈRE,Paris
15,rue,JOUVENET,Paris
2,rue,TITIEN,Paris
81,rue,CHEVALERET,Paris
163,rue,SAINT-MAUR,Paris
15,rue,VOUILLÉ,Paris
9,impasse,SAINT-OUEN,Paris
10,rue,VOUILLÉ,Paris
56,rue,ARBRE-SEC,Paris
5,rue,PETITOT,Paris
38,rue et place,REUNION,Paris
1,rue,SCRIBE,Paris
28,rue,CHARBONNIÈRE,Paris
39,rue,DAVY,Paris
36,rue,DAMESME,Paris
3,rue,DÉBARCADÈRE,Paris
5,rue,BISCORNET,Paris
20,rue,VIOLET,Paris
5,rue,BERGERS,Paris
32,rue,MEUNIERS,Paris
65,rue,RICHELIEU,Paris
7,rue,MALTE,Paris
8,passage,SAINT-AMBROISE,Paris
4,rue,SOURDIÈRE,Paris
11,avenue,VICTORIA,Paris
8,rue,TLEMCEN,Paris
17,rue,TÉHÉRAN,Paris
178,rue,BELLEVILLE,Paris
102,boulevard,MÉNILMONTANT,Paris
14,boulevard,POISSONNIÈRE,Paris
7,rue,ESSAI,Paris
10,rue,LAMENNAIS,Paris
12,rue,GALILÉE,Paris
80,rue,PROCESSION,Paris
9,rue,TOURLAQUE,Paris
19,rue,AQUEDUC,Paris
20,rue,VARENNE,Paris
231,rue,SAINT-HONORÉ,Paris
9,rue,MAYET,Paris
12,passage,MENILMONTANT,Paris
18,rue,SAINTS-PÈRES,Paris
10,impasse,FONTAINE d'HAUTPOUL,Paris
12,rue,CLAVEL,Paris
90,avenue,VICTOR-HUGO,Paris
70,boulevard,GRENELLE,Paris
78,rue,LAGNY,Paris
21,rue,SAINTONGE,Paris
9,rue,NAPLES,Paris
21,avenue,EYLAU,Paris
90,rue,NOLLET,Paris
36,rue,ENGHIEN,Paris
51,rue,DOUAI,Paris
22,rue,LAMARTINE,Paris
2,rue,ISLETTES,Paris
205,avenue,VERSAILLES,Paris
10,rue,GERGOVIE,Paris
15,rue,BERGER,Paris
72,rue,DUTOT,Paris
138,boulevard,CHARONNE,Paris
1,rue,DARBOY,Paris
68,boulevard,VILLETTE,Paris
7,rue,MAINE,Paris
11,rue,MONTBRUN,Paris
54,rue,ROI DE SICILE,Paris
235,rue,VAUGIRARD,Paris
59,rue,FAUBOURG DU TEMPLE,Paris
79,rue,POUCHET,Paris
126,rue,MARCADET,Paris
1,passage,PENEL,Paris
55,rue,DESSOUS DES BERGES,Paris
86,rue,RÉBEVAL,Paris
64,rue,BOURSAULT,Paris
6,passage,MURAT,Paris
48,rue,ROCHECHOUART,Paris
11,cité,BAUER,Paris
1,rue,ERNEST,Paris
1,rue,PHILIPPE DE GIRARD,Paris
25,rue,BUTTE-AUX-CAILLES,Paris
4,rue,RIGNY,Paris
49,rue,SCHEFFER,Paris
142,boulevard,HOPITAL,Paris
28,rue,LORRAINE,Paris
6,rue,DUGOMMIER,Paris
12,rue,N.-D. DES VICTOIRES,Paris
147,rue,VAUGIRARD,Paris
6,rue,CAUMARTIN,Paris
62,boulevard,BEAUMARCHAIS,Paris
35,rue,CHARBONNIÈRE,Paris
5,place,JUSSIEU,Paris
24,rue,DUGOMMIER,Paris
38,rue,FRANÇOIS MIRON,Paris
124,rue,CHARONNE,Paris
4,rue,RONDELET,Paris
9,rue,TROUSSEAU,Paris
11,rue,VIENNE,Paris
9,rue,GRANDS-AUGUSTINS,Paris
6,boulevard,SAINT-MARTIN,Paris
22,rue,ASTORG,Paris
19,rue,CONSTANCE,Paris
18,impasse,SAINT-CHARLES,Paris
19,rue,CAMPAGNE-PREMIÈRE,Paris
48,rue,RAMEY,Paris
52,boulevard,CHARONNE,Paris
12,avenue,OBSERVATOIRE,Paris
5,rue,CHAUVELOT,Paris
197,quai,VALMY,Paris
43,rue,VERTBOIS,Paris
4,rue,SAINT-LAZARE,Paris
4,rue,SIDI-BRAHIM,Paris
13,rue,BOURET,Paris
10,passage,JOSSET,Paris
12,rue,ROBERT-FLEURY,Paris
6,rue,GRANDS-CHAMPS,Paris
12,rue,BIRAGUE,Paris
6,rue,SAUSSIER-LEROY,Paris
2,rue,DAVID D'ANGERS,Paris
46,rue,ALPHONSE,Paris
79,rue,DAGUERRE,Paris
24,rue,MORARD,Paris
47,rue,BISSON,Paris
36,rue,ERMITAGE,Paris
8,impasse,MOULIN-JOLI,Paris
39,rue,OURCQ,Paris
29,rue,GÉNÉRAL BRUNET,Paris
43,rue,BOISSIÈRE,Paris
15,rue,DUMONT D'URVILLE,Paris
48,rue,COURONNES,Paris
13,rue,COPREAUX,Paris
148,rue,LEGENDRE,Paris
52,quai,ORFÈVRES,Paris
291,rue,FAUBOURG SAINT-ANTOINE,Paris
18,rue,GEORGE SAND,Paris
2,passage,BASFOUR,Paris
22,rue,ARC DE TRIOMPHE,Paris
21,avenue,VILLEMAIN,Paris
19,rue,PACHE,Paris
11,rue,ABBESSES,Paris
60,rue,CAUMARTIN,Paris
145,rue,COURCELLES,Paris
25,rue,F FRANCS-BOURGEOIS,Paris
9,rue,POTEAU,Paris
11,rue,ALSACE,Paris
27,rue,JEAN-JACQUES ROUSSEAU,Paris
6,place,GAMBETTA,Paris
137,avenue,CLICHY,Paris
123,avenue,MALAKOFF,Paris
64,rue,CHERCHE-MIDI,Paris
98,boulevard,SAINT-GERMAIN,Paris
117,rue,VERCINGÉTORIX,Paris
130,rue,CHARONNE,Paris
1,rue,FURSTEMBERG,Paris
2,cour,SAINT-ÉLOI,Paris
42,rue,MONTMORENCY,Paris
8,rue,THIBOUMÉRY,Paris
14,rue,MALMAISONS,Paris
18,villa,REDAN,Paris
78,rue,MAUBEUGE,Paris
28,rue,CASCADES,Paris
51,rue,TRAVERSIÈRE,Paris
36,rue,TOUR,Paris
7,passage,DOUDEAUVILLE,Paris
47,boulevard,BEAUMARCHAIS,Paris
28,rue,CAMBON,Paris
1,rue,RIBOUTTÉ,Paris
181,boulevard,MALESHERBES,Paris
28,rue,MARTIGNAC,Paris
51,rue,MARTYRS,Paris
213,rue,VAUGIRARD,Paris
26,rue,CUSTINE,Paris
29,rue,POITOU,Paris
29,rue,RAMBUTEAU,Paris
1,rue,HAUDRIETTES,Paris
3,avenue,TOURVILLE,Paris
9,rue,TLEMCEN,Paris
50,rue,MEAUX,Paris
13,rue,LISBONNE,Paris
6,impasse,MOULIN-JOLI,Paris
70,rue,CRIMÉE,Paris
16,rue,BELFORT,Paris
29,rue,JOUVENET,Paris
111,rue,TOMBE-ISSOIRE,Paris
25,rue,COULMIERS,Paris
31,passage,POISSONNIERS,Paris
16,rue,PLATRIÈRES,Paris
11,rue,ORFILA,Paris
20,rue,PÉTION,Paris
12,rue,BERZÉLIUS,Paris
27,boulevard,EDGAR QUINET,Paris
2,rue,GAY-LUSSAC,Paris
53,rue,ALÉSIA,Paris
110,rue,DENFERT-ROCHEREAU,Paris
34,rue,SAINT-YVES,Paris
9,rue,LESDIGUIÈRES,Paris
30,boulevard,MÉNILMONTANT,Paris
39,boulevard,SAINT-GERMAIN,Paris
48,rue,BERGERS,Paris
12,rue,GUILLEMITES,Paris
36,rue,MONTREUIL,Paris
27,rue,CHERCHE-MIDI,Paris
50,rue,CHINE,Paris
29,rue,CASCADES,Paris
40,rue,RIVOLI,Paris
1,rue,DUROC,Paris
51,rue,ANJOU,Paris
30,rue,LE PELETIER,Paris
35,rue,GATINES,Paris
20,rue,JAVEL,Paris
104,rue,PATAY,Paris
174,boulevard,VILLETTE,Paris
5,rue,ANNELETS,Paris
42,boulevard,BARBÈS,Paris
52,rue,CHINE,Paris
38,rue,ROSIERS,Paris
112,rue,DAMES,Paris
11,rue,BÉRANGER,Paris
48,rue,GÉRARD,Paris
114,rue,MOINES,Paris
111,rue,CHERCHE-MIDI,Paris
14,passage,PRÉVOST,Paris
59,rue,POISSONNIERS,Paris
26,rue,LÉCLUSE,Paris
43,boulevard,SÉBASTOPOL,Paris
31,quai,ANJOU,Paris
18,rue,LANTIEZ,Paris
19,rue,BOURET,Paris
19,rue,GODOT DE MAUROY,Paris
41,rue,VAUGIRARD,Paris
2,avenue,BUGEAUD,Paris
85,rue,RÉBEVAL,Paris
13,rue,THÉRÈSE,Paris
97,rue,NOLLET,Paris
9,avenue,MARCEAU,Paris
129,rue,PROVENCE,Paris
18,boulevard,ORNANO,Paris
19,rue,GUÉNÉGAUD,Paris
30,rue,SÉVIGNÉ,Paris
2,rue,ANDRÉ GILL,Paris
37,rue,MESLAY,Paris
15,rue,PALI-KAO,Paris
11,rue,N.-D. DE LORETTE,Paris
2,rue,TAITBOUT,Paris
12,rue,APENNINS,Paris
36,rue,TAGE,Paris
40,rue,CARDINET,Paris
44,rue,MARE,Paris
64,rue,FRANÇOIS MIRON,Paris
25,boulevard,COURCELLES,Paris
23,rue,VIVIENNE,Paris
1,rue,ROBINEAU,Paris
28,quai,CÉLESTINS,Paris
20,rue,DESCARTES,Paris
25,rue,GRAND-PRIEURÉ,Paris
62,rue,GÉRARD,Paris
23,rue,GALVANI,Paris
9,rue,BARBETTE,Paris
2,rue,JENNER,Paris
165,rue,ORDENER,Paris
16,rue,CHAPELLE,Paris
22,rue,VALOIS,Paris
4,rue,PETITS-CARREAUX,Paris
8,rue,PRESBOURG,Paris
17,rue,SAINT-DIDIER,Paris
22,rue,VAN LOO,Paris
5,rue,GROS,Paris
154,boulevard,PEREIRE,Paris
7,rue,CAPUCINES,Paris
19,rue,RUISSEAU,Paris
46,rue,ÉCHIQUIER,Paris
55,rue,PETIT,Paris
46,rue,ARCHIVES,Paris
63,rue,CHATEAU DES RENTIERS,Paris
104,rue,LA BOETIE,Paris
8,rue,SAINT-HYACINTHE,Paris
33,rue,SAINT-LOUIS en l'ILE,Paris
43,rue,SAINT-DIDIER,Paris
8,rue,PATURLE,Paris
10,rue,MONSIEUR LE PRINCE,Paris
14,impasse,FLORIMONT,Paris
2,rue,PÉTRELLE,Paris
66,avenue,MARCEAU,Paris
160,boulevard,PEREIRE,Paris
2,passage,CÉPRÉ,Paris
22,rue,CHARBONNIÈRE,Paris
6,rue,BOULANGERS,Paris
25,boulevard,BESSIÈRES,Paris
15,rue,BISSON,Paris
5,cité,MALESHERBES,Paris
130,boulevard,VOLTAIRE,Paris
105,rue,PELLEPORT,Paris
74,rue,MARE,Paris
1,rue,LOUVRE,Paris
49,rue,FONTAINE-AU-ROI,Paris
2,rue,MANDAR,Paris
6,rue,CRETET,Paris
36,rue,LIANCOURT,Paris
78,rue,LABAT,Paris
114,rue,RENNES,Paris
12,rue,BELZUNCE,Paris
81,rue,JAVEL,Paris
21,rue,CLÉRY,Paris
118,rue,SAINT-MARTIN,Paris
9,rue,POPINCOURT,Paris
21,rue,TOUL,Paris
66,rue,BERGERS,Paris
62,avenue,PHILIPPE-AUGUSTE,Paris
139,boulevard,MONTPARNASSE,Paris
33,rue,CAUMARTIN,Paris
9,rue,ORFÈVRES,Paris
9,rue,PASQUIER,Paris
46,rue,SAINT-DOMINIQUE,Paris
5,place,BRETEUIL,Paris
50,rue,BABYLONE,Paris
10,cours,VINCENNES,Paris
54,rue,TOMBE-ISSOIRE,Paris
30,rue,SAMBRE-ET-MEUSE,Paris
1,rue,DURAS,Paris
103,rue,CAMBRONNE,Paris
129,quai,VALMY,Paris
24,rue,MARC SÉGUIN,Paris
75,rue,SAINT-BLAISE,Paris
5,rue,FAUSTIN HÉLIE,Paris
13,rue,LABAT,Paris
94,rue,CHAMPIONNET,Paris
5,rue,KEPPLER,Paris
111,rue,PICPUS,Paris
36,rue,ORFILA,Paris
5,passage,FRÉQUEL,Paris
6,rue,GUILHEM,Paris
56,rue,PICPUS,Paris
14,rue,BANQUE,Paris
31,rue,BIÈVRE,Paris
97,rue,PELLEPORT,Paris
3,cité,CHAPELLE,Paris
1,rue,XAINTRAILLES,Paris
30,rue,GRAVILLIERS,Paris
97,rue,BOILEAU,Paris
36,rue,CHATEAU D'EAU,Paris
7,villa,DUPONT,Paris
42,rue,COURONNES,Paris
58,rue,ARGOUT,Paris
60,rue,JUSTICE,Paris
106,rue,CHEMIN-VERT,Paris
9,rue,BUZELIN,Paris
40,rue,FABERT,Paris
3,rue,ORCHAMPT,Paris
96,avenue,HENRI MARTIN,Paris
4,rue,CAVALERIE,Paris
90,rue,NATIONALE,Paris
18,rue,BERTHE,Paris
4,rue,VINCENT,Paris
54,avenue,SAINT-MANDE,Paris
1,rue,BENOUVILLE,Paris
27,rue,TAITBOUT,Paris
8,rue,ESTRÉES,Paris
57,rue,LYON,Paris
8,rue,APENNINS,Paris
37,rue,SAINT-MARC,Paris
5,rue,PÉTEL,Paris
31,rue,CAMBACÉRÈS,Paris
51,rue,DOMBASLE,Paris
242,rue,SAINT-JACQUES,Paris
98,boulevard,SÉBASTOPOL,Paris
5,rue,PRÉ-AUX-CLERS,Paris
18,cité,MARCADET,Paris
29,rue,FRANÇOIS BONVIN,Paris
127,rue,SÈVRES,Paris
19,rue,PETIT,Paris
3,impasse,REILLE,Paris
21,boulevard,GOUVION-ST-CYR,Paris
6,rue,PARTANTS,Paris
8,avenue,INGRES,Paris
6,rue,EBELMEN,Paris
55,avenue,RÉPUBLIQUE,Paris
7,place,TERTRE,Paris
14,rue,PÉTEL,Paris
39,rue,MYRHA,Paris
65,rue,GOUTTE D'OR,Paris
61,rue,MARAICHERS,Paris
58,rue,CLÉRY,Paris
19,rue,VIOLET,Paris
23,rue,GAITÉ,Paris
18,rue,GOBELINS,Paris
4,rue,KABYLIE,Paris
6,rue,BERGERS,Paris
166,rue,GRENELLE,Paris
172,rue,CHARENTON,Paris
156,rue,AUBERVILLIERS,Paris
49,rue,ALBERT,Paris
9,rue,FAUCONNIER,Paris
78,rue,MONTREUIL,Paris
100,rue,TOLBIAC,Paris
182,rue,BELLEVILLE,Paris
44,rue,CAMBRONNE,Paris
94,rue,FLANDRE,Paris
5,rue,HELDER,Paris
17,rue,PASTOURELLE,Paris
87,rue,LAURISTON,Paris
10,rue,CERISAIE,Paris
5,impasse,HAUTPOUL,Paris
85,rue,JOUFFROY,Paris
2,rue,RHIN,Paris
4,rue,BELHOMME,Paris
31,rue,BEAUREPAIRE,Paris
26,avenue,LEDRU-ROLLIN,Paris
41,boulevard,SUCHET,Paris
45,rue,"F,  FOUR",Paris
25,rue,TÉLÉGRAPHE,Paris
20,rue,GUILHEM,Paris
55,rue,GALANDE,Paris
26,rue,SAINT-GILLES,Paris
14,rue,MESLAY,Paris
301,rue,CHARENTON,Paris
8,rue,COCHIN,Paris
42,rue,CHEMIN-VERT,Paris
20,rue,RUISSEAU,Paris
19,rue,NICOLAI,Paris
11,boulevard,BATIGNOLLES,Paris
21,rue,MARTEL,Paris
7,rue,GOUTTE D'OR,Paris
15,rue,COLLÉGIALE,Paris
11,rue,FROCHOT,Paris
3,rue,TOURELLES,Paris
20,boulevard,SÉBASTOPOL,Paris
126,rue,VIEILLE DU TEMPLE,Paris
56,rue,ROMAINVILLE,Paris
153,avenue,VERSAILLES,Paris
